AccountID,Marketplace,ASIN,Start_Date,End_Date,ProductCost,Currency
A6XVUKTIG2TMF,Amazon.com,B098WK887V,2023-03-01,2029-08-15,28,USD
A6XVUKTIG2TMF,Amazon.com,B095RNPYNX,2023-03-01,2029-08-15,28,USD
A6XVUKTIG2TMF,Amazon.com,B095RNJT2F,2023-03-01,2029-08-15,28,USD
A6XVUKTIG2TMF,Amazon.com,B099GJ51DD,2023-03-01,2029-08-15,28,USD
A6XVUKTIG2TMF,Amazon.com,B095RJ92DQ,2023-03-01,2029-08-15,28,USD
A6XVUKTIG2TMF,Amazon.com,B095RR7NGP,2023-03-01,2029-08-15,28,USD
A6XVUKTIG2TMF,Amazon.com,B092LL1VGC,2023-03-01,2029-08-15,17,USD
A6XVUKTIG2TMF,Amazon.com,B092LNB54Z,2023-03-01,2029-08-15,17,USD
A6XVUKTIG2TMF,Amazon.com,B092LQW1X6,2023-03-01,2029-08-15,17,USD
A6XVUKTIG2TMF,Amazon.com,B092LPZYCS,2023-03-01,2029-08-15,17,USD
A6XVUKTIG2TMF,Amazon.com,B092LJZ218,2023-03-01,2029-08-15,17,USD
A6XVUKTIG2TMF,Amazon.com,B092LX297Q,2023-03-01,2029-08-15,17,USD
A6XVUKTIG2TMF,Amazon.com,B08B476K1F,2023-03-01,2029-08-15,7,USD
A6XVUKTIG2TMF,Amazon.com,B08B46SLQT,2023-03-01,2029-08-15,7,USD
A6XVUKTIG2TMF,Amazon.com,B08B4651JV,2023-03-01,2029-08-15,7,USD
A6XVUKTIG2TMF,Amazon.com,B09B9ZJJRH,2023-03-01,2029-08-15,21,USD
A6XVUKTIG2TMF,Amazon.com,B09B9Z31F3,2023-03-01,2029-08-15,21,USD
A6XVUKTIG2TMF,Amazon.com,B09BB2GY1S,2023-03-01,2029-08-15,21,USD
A6XVUKTIG2TMF,Amazon.com,B09B9ZHKZN,2023-03-01,2029-08-15,21,USD
A6XVUKTIG2TMF,Amazon.com,B0BF8S72K5,2023-03-01,2029-08-15,21,USD
A6XVUKTIG2TMF,Amazon.com,B0BF8G4JDJ,2023-03-01,2029-08-15,21,USD
A6XVUKTIG2TMF,Amazon.com,B0BF91L75G,2023-03-01,2029-08-15,21,USD
A6XVUKTIG2TMF,Amazon.com,B0BZ5TKL1Y,2023-03-01,2029-08-15,14,USD
A6XVUKTIG2TMF,Amazon.com,B0BFQQZ4RC,2023-03-01,2029-08-15,14,USD
A6XVUKTIG2TMF,Amazon.com,B0BZ5TJFCG,2023-03-01,2029-08-15,14,USD
A6XVUKTIG2TMF,Amazon.com,B0BFQ731H6,2023-03-01,2029-08-15,14,USD
A6XVUKTIG2TMF,Amazon.com,B01FRLCZ22,2023-03-01,2029-08-15,8.75,USD
A6XVUKTIG2TMF,Amazon.com,B01FRLCZW2,2023-03-01,2029-08-15,8.75,USD
A6XVUKTIG2TMF,Amazon.com,B01FRLCWCK,2023-03-01,2029-08-15,8.75,USD
A6XVUKTIG2TMF,Amazon.com,B092PHJVVQ,2023-03-01,2029-08-15,8.75,USD
A6XVUKTIG2TMF,Amazon.com,B092PLWH1D,2023-03-01,2029-08-15,8.75,USD
